lap1-0.csv,lap1-0.csv (from view of ref lap),lap1-1.csv,lap1-1.csv (from view of ref lap),lap1-10.csv,lap1-10.csv (from view of ref lap),lap1-11.csv,lap1-11.csv (from view of ref lap),lap1-12.csv,lap1-12.csv (from view of ref lap),lap1-13.csv,lap1-13.csv (from view of ref lap),lap1-14.csv,lap1-14.csv (from view of ref lap),lap1-15.csv,lap1-15.csv (from view of ref lap),lap1-16.csv,lap1-16.csv (from view of ref lap),lap1-17.csv,lap1-17.csv (from view of ref lap),lap1-18.csv,lap1-18.csv (from view of ref lap),lap1-19.csv,lap1-19.csv (from view of ref lap),lap1-2.csv,lap1-2.csv (from view of ref lap),lap1-20.csv,lap1-20.csv (from view of ref lap),lap1-21.csv,lap1-21.csv (from view of ref lap),lap1-22.csv,lap1-22.csv (from view of ref lap),lap1-23.csv,lap1-23.csv (from view of ref lap),lap1-24.csv,lap1-24.csv (from view of ref lap),lap1-25.csv,lap1-25.csv (from view of ref lap),lap1-26.csv,lap1-26.csv (from view of ref lap),lap1-27.csv,lap1-27.csv (from view of ref lap),lap1-28.csv,lap1-28.csv (from view of ref lap),lap1-29.csv,lap1-29.csv (from view of ref lap),lap1-3.csv,lap1-3.csv (from view of ref lap),lap1-30.csv,lap1-30.csv (from view of ref lap),lap1-31.csv,lap1-31.csv (from view of ref lap),lap1-32.csv,lap1-32.csv (from view of ref lap),lap1-33.csv,lap1-33.csv (from view of ref lap),lap1-4.csv,lap1-4.csv (from view of ref lap),lap1-5.csv,lap1-5.csv (from view of ref lap),lap1-6.csv,lap1-6.csv (from view of ref lap),lap1-7.csv,lap1-7.csv (from view of ref lap),lap1-8.csv,lap1-8.csv (from view of ref lap),lap1-9.csv,lap1-9.csv (from view of ref lap)
44.5219171643,9.435202398194436,42.0577360861,19.1577893154,35.4746827305,11.7940029838,43.6052894308,6.25809800078,24.9156075878,5.90991106294,40.3435232796,1.79514729815,217.009655172,420.2874050147189,11.1304792092,19.2572771752,49.9264492935,7.86266864853,56.7594922801,2.81507046954,55.628587826,25.9468065769,52.4858643402,9.43520242014,44.4981085783,16.1851732476,41.8791722807,15.8384743177,52.9025132693,9.77748493345,44.2481192218,22.1260454662,41.7839382206,11.5989409093,49.0217258361,13.3665367207,50.3430981984,11.7940029717,291.5979623782954,336.071281964,57.9142050313,13.9679409172,68.2232906441,18.0841378954,47.3432257137,20.3886405501,40.3673317646,13.1210013236,48.9860130558,14.9390704198,215.37179809,180.105155056,50.1407259322,13.2193677388,24.3561076433,54.9593663366,44.1409809385,7.1721825411,36.629395395,9.43520239819,37.1769912993,9.05055677307,40.5577998076,4.42384062693,35.903235796,9.78829023007,58.3903752497,12.9367005563
59.5093753603,8.468353329261374,40.6649381775,19.4868353324,34.6294804276,11.448218409214459,37.8912465547,6.56807491461,23.8680330572,6.79922022526,36.7960550302,2.46832752766,245.315262419,434.37526357317415,10.5947876774,15.8625665344,45.6290128735,7.86266866649,48.2598534568,3.6271100377,53.4382048926,25.9468065827,43.6052893971,9.33271573969,42.0220233684,17.0680009248,39.1292891669,16.4041341136,48.1884279443,10.1225726178,40.4982785953,22.7071769997,38.6293104153,12.0424461967,46.5456406262,14.1742881031,45.8432895363,11.7940030044,321.391101345,335.734405922,51.3787685444,14.7117957584,60.2831519869,18.2687209287,43.4743425952,21.3555771889,38.1650444443,13.5657810129,43.4029169959,14.9390704262,210.598191476,175.382184123,44.629055409,12.9305951576,29.4035121231,54.5030616356,42.4148637884,7.78694100961,35.1056506845,10.7939733415,35.9984698561,9.67011297593,38.2840869988,4.77455304406,33.9033208287,10.6695455837,49.3431407581,13.6554061551
51.7835132165,8.018380143036797,39.8792572651,18.2129620883,32.8319378661,14.1439663491,31.4272355947,5.27542183401,21.8681180273,6.06699639869,31.6177036859,1.49595606142,265.285102028,447.0478595921335,9.58292595124,14.6686099482,39.093576425,6.41223834015,39.2840445788,2.7789797837,49.819310991,24.3742728081,37.3436508141,7.49293302335,38.5935977602,16.3181284728,36.5817784444,15.1624708474,44.7600022109,8.64893545796,36.6770124419,21.6525308039,36.0817996544,11.0700746959,42.9148425399,13.3835399062,39.5102253156,10.2214692674,340.004571003,337.007048793,43.8909915484,13.6080959283,53.878662268,17.0366443547,40.6649382931,20.9284655795,35.0104166631,12.5802698037,37.8198209699,13.3665366523,205.074616691,169.163426911,34.998512382,11.1017020135,35.7246719954,55.6411930134,40.6173212366,6.85999454892,31.9510227925,10.1771747872,33.0700228983,8.80437166998,33.7842782885,3.6866801615,31.8319803246,10.0104499501,35.0937464132,12.820051665
37.6174486796,3.516292265674194,37.260321064,17.7528451854,29.2011397654,16.7283306395,26.4512567285,4.77609200021,20.8800648486,6.89408535618,26.1655544762,1.43926988422,284.628605792,460.42890798776335,10.1305217689,12.4399023316,29.593980224,5.88816117755,28.0702354365,2.9155977021,42.4862893202,23.5880059656,20.0824797901,6.42251403156,36.45083158,16.4227318258,33.355725064,14.6733589386,40.3792360407,7.86266859688,33.4628633472,21.4157735151,33.058118651,10.9204790835,40.0935338895,12.9793390732,33.5819059403,9.43520244165,342.526242098,337.474932165,37.0103316352,13.2038950945,45.6409171496,16.7810486302,36.7008210135,20.4429385186,31.7843632585,12.5802697805,32.8438420412,12.5802698105,200.562903719,163.115407027,25.4274906444,10.6474901488,42.3910553324,55.9322034122,36.3079804923,7.41185453803,29.2011397654,10.221469267,29.7130227545,8.018380175906422,30.2844270041,3.41471199104,28.6059269442,10.251665618948127,26.2488842504,13.2926803091
30.3677568409,4.717601171163407,35.7246720051,17.2927282825,27.0583736862,19.5040990948,19.8443946423,4.24211899117,18.9396711465,6.29013496671,17.8801923927,1.39565563093,305.385037911,473.81044194504483,9.32103237157,10.0678870307,17.987330676,5.36408401496,18.6182561908,3.19775237186,33.6533315299,23.053245905,13.8089368587,5.66690333857,33.355725064,15.7253372651,30.1296717077,14.2207235871,36.2008421994,7.72512527822,29.4987461205,21.1790162264,31.1177249248,10.5541338154,37.6769699689,12.5751382402,18.6777775331,8.64893554099,340.453553283,337.942815537,30.5344164376,12.8272321698,38.8912040384,17.1075282949,33.5461931215,19.6566717366,28.963054608,11.820182839310155,24.1537353144,11.7940029687,194.634584291,156.750391152,19.8324903469,10.5410152409,48.0455768566,56.223213811,33.2842994888,7.74065069669,27.0583736862,10.251665704645147,25.606054575,10.1707420852,26.9869481352,3.14274382059,26.1893630237,11.007736094,22.558565,13.7653089532
21.0824372016,1.11194923994,32.8319378179,16.8326114369,24.4394374128,21.8808199316,15.6064794973,3.70814603905,16.0469369209,6.00452606536,11.8090218769,1.8338737698,343.240164764,487.19242150424463,8.71391528869,7.81801258073,10.8328728347,4.99835556004,10.4519367101,3.47990710177,28.8678205672,22.6722005842,9.43520242613,5.19161474045,29.3201823103,15.7014287583,27.1059907283,14.2207236166,31.7486505167,8.23003551588,25.4632034151,21.0758872295,27.82024608,10.1499329716,32.9628845957,12.1709374646,11.7940029698,7.98274443369,329.5593277701976,338.410698852,24.6656182747,12.4723285639,32.7486080341,16.417734344155644,29.4392248794,19.4946798928,26.7488630404,11.7940030885,15.5231496652,11.5188615518,189.646701076,149.80696361,14.1660644984,10.4345403916,52.0215983835,56.4894758058,27.5464481904,7.84525408722,24.6418097031,8.964821654680287,21.2252882555,10.5649422731,23.0109266226,3.49170064291,22.6180861641,11.1194927035,18.3920754059,14.2358254162
15.796947574,2.22389855888,30.8201185648,16.3724944468,21.0705329687,22.5754489914,10.4162239539,3.20540549644,13.3684793581,6.29013496671,6.34496838132,2.42029872047,360.93690808,500.5748106999006,8.78534086383,5.64084459019,7.02175693234,4.81984280094,5.33310663107,3.91182394989,23.2702748011,22.0154722825,5.90991106602,4.71632599816,26.8321928147,16.5791482793,22.3323840176,14.1985899119,28.1773738449,8.61905999372,22.2371500587,20.9932366192,24.522767187,10.1954934063,29.5344590117,11.7667365438,9.60360553806,8.57605650951,299.618182151,338.878582311,19.8920116604,12.1642357229,26.3322140776,13.5395385647,25.2608310621,18.10122263539955,23.5823309975,12.027570252903091,11.6351374009,11.3692658727,188.37294566,142.775724736,10.711713776,10.3487016185,54.9062384121,56.6943953703,24.1775437464,7.3143301781,20.130096731,12.96744533969576,16.9754689257,10.6695455669,19.9158201549,3.84982368717,19.6539265126,11.6109760501,14.6303304936,14.610452335
9.15437284232,1.11194920043,20.3324690743,16.0815274505,17.1659369687,23.1248849382,6.29013489488,2.95400110963,10.7376388373,6.15099947249,2.16657462666,2.84741028645,380.525162965,513.9575777822181,8.38059613388,3.81569922812,5.07882984633,4.64133007356,2.77027077529,4.45947922477,22.5315359572,21.2292054113,4.70946037582,5.05848923762,21.8562138474,15.7996259935,17.7492455812,13.8734313144,23.7251820129,8.99719485311,21.14640049,20.9105860411,21.4276607577,10.2214692419,26.3679267954,12.1014937293,7.94144302863,8.87984507439,281.922692328,339.346465741,14.7731815813,11.8853311222,18.0841378926,10.229933197,20.4429385201,20.6652186457,20.8205435882,10.951430247770206,11.2657679096,11.1311741026,185.944477478,135.46139455,10.3423442923,10.3977476011,56.4211821673,56.8993149033,19.6539265126,8.08072467614,18.2492243423,15.9737782029,13.1303942633,11.1140671644,15.2612560567,4.00919014274,18.1777987431,11.6351373749,12.8732210392,14.9850792889
3.3927129338,9.500498794267022,18.6271607759,15.9319318592,15.6898092715,23.5880060216,4.89414506915,2.76751867935,9.39245797071,6.2762032439,1.47747779275,2.84231648649,407.286236905,527.3406940382507,8.17822375685,2.12519952706,4.61711799615,5.14438614479,3.60135219168,5.00713459694,21.331085283,20.442938520110005,5.50386807337,5.41661242925,19.5705968298,15.7253373489,16.0915263362,13.6131999533,19.4753626446,9.43520239819,20.8693733872,20.9206775496,17.4516391682,9.435202398194436,23.4037670813,11.7940029636,8.95720901957,8.68018186756,253.732053412,339.814349083,14.3360870719,11.6804115928,16.7139671684,7.64092117973,21.054058089,21.5106024804,18.4635008944,11.924786252,11.0077361002,10.7063201802,184.801668863,127.931870644,10.4346867231,10.5126413913,56.9752363749,57.2278305324,17.0945115044,8.26366766299,15.213639029,19.3938743539,9.89243668374,11.8086964604,10.404319644,4.95038820543,14.6065220328,11.6351374137,14.220723533,15.2888025656
1.69040434081,21.388771233537458,17.2680214395,16.5116041664,14.1422561146,23.5880059769,3.23198260036,3.70163333044,8.24964934161,6.77263467234,1.38513541502,4.44779695974,439.235048056,541.4382308362199,7.49968118552,0.195048818859,6.83333474503,6.62596934256,6.29013492592,6.37597733554,20.4429385201,20.442938492176197,6.00225344149,6.16449407281,16.6064369665,16.5116041899,14.2207235887,13.015032466406122,15.2255433148,9.89846607222,21.8851393469,21.8621080046,14.3565326282,9.565349207688968,16.7969050577,12.7756966478,8.68018186688,9.53882443855,222.361489441,339.477473071,13.0202728145,12.3416373215,17.1756791463,6.07800547182,19.3918958103,23.3810896112,17.5944901692,12.9557168106,12.1891915747,11.2729295316,183.861232688,120.278634655,11.7274797167,11.687967696,57.0675787005,56.8454619784,13.8565538623,9.20509807533,14.3446283665,23.7709859227,9.43520242613,12.2695264804,6.63067053259,8.45374010069,13.5351389691,12.3416373215,15.2364894562,16.2830165652
