lap2-0.csv,lap2-0.csv (from view of ref lap),lap2-1.csv,lap2-1.csv (from view of ref lap),lap2-10.csv,lap2-10.csv (from view of ref lap),lap2-11.csv,lap2-11.csv (from view of ref lap),lap2-12.csv,lap2-12.csv (from view of ref lap),lap2-13.csv,lap2-13.csv (from view of ref lap),lap2-14.csv,lap2-14.csv (from view of ref lap),lap2-15.csv,lap2-15.csv (from view of ref lap),lap2-16.csv,lap2-16.csv (from view of ref lap),lap2-2.csv,lap2-2.csv (from view of ref lap),lap2-3.csv,lap2-3.csv (from view of ref lap),lap2-4.csv,lap2-4.csv (from view of ref lap),lap2-5.csv,lap2-5.csv (from view of ref lap),lap2-6.csv,lap2-6.csv (from view of ref lap),lap2-7.csv,lap2-7.csv (from view of ref lap),lap2-8.csv,lap2-8.csv (from view of ref lap),lap2-9.csv,lap2-9.csv (from view of ref lap),lap3-0.csv,lap3-0.csv (from view of ref lap),lap3-1.csv,lap3-1.csv (from view of ref lap),lap3-2.csv,lap3-2.csv (from view of ref lap),lap3-3.csv,lap3-3.csv (from view of ref lap),lap3-4.csv,lap3-4.csv (from view of ref lap)
11.7685399212,13.3665367494,17.1437900117,2.22006091165,1.20128696077,21.8851394289,76.332623239,19.3096114245,60.0338061053,4.94492113192,36.4356439005,11.8920558575,299.089908656,142.901615541,54.1495361926,51.0367056299,75.1313361155,548.2372237012519,28.9632318383,12.0673526653,23.8832133163,11.4613817558,30.9076878353,10.2214692862,25.6342417716,2.44628837842,59.9625433008,18.0067602909,42.487521834721015,12.5383632458,25.3288298287,16.1614494469,17.6120882749,39.2195916248,63.973620145,57.1870653967,103.97766171101513,94.5695780869,68.6260619424,85.6200934884,100.94882515,203.53531972820676,199.27483515866308,229.506328591
13.1225328578,14.1528035694,18.0091237936,2.2853569061,4.18414354004,22.0698241411,75.9559484189,17.4757377664,60.3697593868,5.50386803901,34.5420899049,10.987225505,299.80253642,138.31594095864534,53.294382822,51.8008070935,75.7319796772,558.3945282495625,27.6601409331,12.3563000967,24.2700684451,11.0077361498,29.61477735,10.229933204,22.895714714,1.77911875451,51.0852363975,17.82207559,39.7137321054,11.7866622407,23.3131110573,15.2720946676,15.4742047276,39.7675217585,64.6964283499,54.70067120856934,102.893281096,90.8491262526,70.2243843706,82.56176498077453,100.714675937,197.1947269075821,202.274324958,228.89145462955807
12.0637714742,14.2370514308,18.0294845736,1.57253382042,4.03143759425,22.801739097,74.8564654753,15.3448999641,60.7158928529,5.66856804328,33.2491793596,9.82387218755,300.637329165,133.768005212,54.129175434,52.8020434533,75.487650177,570.1253525884786,28.6476395722,12.9534447091,23.8119505718,11.7940030676,30.8567859008,9.34037379307,20.0350229619,0.775568799694,34.8984037891,18.1395388254,39.2657944895,10.7287025193,19.6074462218,14.1528036372,13.3363211504,39.8918997732,63.973620145,52.3460681491,103.269955835,86.31047333950745,70.9777338995,79.5646126542,100.35836203,190.20833970899858,207.608853503,228.0173912695994
13.2955996563,14.6777303573,17.3270371488,0.0541930887339,6.29148596868,24.0827481764,72.0670364163,12.5802698616,60.3392180541,7.07640180463,32.0784336502,9.56534929494,300.504983917,128.8038565238269,53.2740219092,52.9074366885,75.3654852684,581.0336588504144,27.2223838398,12.6509033819,23.2316678414,11.4107717879,29.5638753255,9.62308673167,13.468666353,0.117866410566,29.9812716542,17.2978710308,34.3893839146,10.470179618,18.3145357579,12.9708200263,10.3534646011,38.9284034246,64.6964283499,50.7224405994,103.646630522,83.7727960551,73.1766997654,76.981103116,100.124212838,184.618507659,210.520447247,228.55900110398318
13.5602899365,12.8986115258,16.5024248667,0.487737848664,6.26094469599,23.6771439232,69.3997721631,12.3431997829,60.0847081725,6.29013489488,29.2177418981,7.7189012198,299.771995301,125.422460064,53.263841652,55.4359722815,75.1211558282,593.5976374240292,27.364909477,13.3896423151,21.7147885845,11.7940030396,28.8716082693,8.22842454018,9.53903277589,2.0015086992,24.5754804248,16.898651972,32.0071708157,8.60424620413,13.8860626149,13.8699006527,8.09341627804,39.7675217313,63.973620145,47.6729821301,103.300497004,79.2567423279,75.3756656739,72.602709104,100.612871941,176.497122893,212.709232796,227.015895339
13.7028155737,13.8099399338,15.6778126234,2.07872142542,7.92034956001,24.2421741882,68.3002892709,5.14362244472,60.6751712415,8.64893556427,27.6805018526,7.36948854853,298.916841879,110.202243855,51.6858799438,63.1544113181,75.5996345114,631.905222556704,26.6624618894,13.0242974645,20.6458468109,10.2214691972,29.258463398,8.00603470199,6.55617622665,4.13760991682,21.2159492095,14.5398709278,28.2913256202,6.59001346128,10.658876514,11.007736078,5.83336793363,37.0292864799,64.6964283499,40.2795851977,102.109390485,67.4144976534,77.3303020909,64.5163155524,100.97936632,152.48307504182628,214.898018396,231.08488891083724
13.8453410394,14.3523319454,14.8532005041,3.24483341399,8.97911094365,25.1605397272,67.3229710517,2.94482204536,60.5428260244,9.11798401303,26.4995755904,7.33886511789,298.183853242,104.248349531,52.3985077886,65.6408055607,75.4774696843,644.4136944167296,24.2700684819,12.3149302011,18.8540968324,8.96934246414,28.433851176,8.45081441598,3.69548442319,5.69482059678,19.7805130357,13.3665367773,27.3445486224,6.46307384111,9.35578560878,9.62351174625,0.946776968739,36.1682758939,63.973620145,37.37870010600209,103.331038256,63.8034926956,78.4399654545,61.3282788195,100.623052383,145.183140581,216.964639096,233.96691487283832
13.0207288688,14.9390704592,13.1836152201,4.36024491,10.0378723273,25.5748331585,68.8805719199,0.786266860115,60.4104809099,9.51890837661,24.8299903364,7.02175693368,296.605891585,97.54780519332984,53.2333004307,69.2481429762,76.078113246,658.500261143185,23.4454562299,11.4884248523,17.6629902316,8.56315606961,27.2427447593,8.36827103813,2.40257387792,7.30030460099,19.5463638741,12.7756967276,26.7540855534,5.3373564623,7.68620035476,8.95720900735,3.46133534294,34.6314630811594,64.6964283499,35.8040756944,103.707712913,60.1707383489,79.5496288094,58.4817770966,101.111711456,136.769759751,219.153424645,237.78301254388398
14.4352675008,14.9390704219,11.514029966,4.66444800625,9.65101716851,25.161295743,68.7482267842,1.84684722289,61.2452735519,9.32657834294,24.3616920432,5.78213609033,295.027929847,91.6410485408,52.5003117031,74.7945841792,75.8337836731,673.4044077314712,20.2080897177,11.9349758149,15.6269107102,8.64893557225,27.1307603735,8.15906421709,0.987498616881,10.94013427,19.6685286499,13.2049575915,26.3977717273,4.09602489175,7.09573725569,8.21847013014,5.36506970723,34.7207275501,63.973620145,32.7668554109,104.084387682,55.3828202299,81.2599356534,54.7006712557,101.478205805,126.762216355,221.220045426,241.80742359093983
14.67773033,14.959747341837781,10.689417684,5.77985953903,10.2312998476,24.9662469943,66.925935503,3.93133437914,60.145790527,10.0653173004,23.4047346554,5.55676043228,293.449968228,85.3126460505,50.9223501063,79.4682065074,76.4344271234,687.5012454080419,19.2613127712,11.852665558,15.158612387,7.78364485179,26.5301168118,8.19204977967,1.1503849604,12.6443687651,19.5463638741,11.7940029977,26.9984150536,3.90097614531,6.86158813276,6.2901349073,8.95875012685,33.5202767552,64.6964283499,30.1737949425,104.461062369,50.724878179521596,83.6930507536,52.2511769482,101.844700072,117.866622238,222.563857883,247.18809773776147
