Name,Measurements count,Frechet distance,Curve length measure,Area diff,Average distance from reference lap (cm)
lap1-0.csv,2303,5.51E-05,0.000130359,6.17E-06,115.5222241
lap1-1.csv,1301,5.47E-05,7.47E-05,4.52E-06,122.6195683
lap1-10.csv,1261,5.21E-05,7.16E-05,5.66E-06,112.4029807
lap1-11.csv,1197,5.31E-05,6.25E-05,5.39E-06,110.6688342
lap1-12.csv,1038,6.17E-05,8.32E-05,4.08E-06,113.5257163
lap1-13.csv,306,0.001480268,0.00038757,4.90E-06,6373.570088
lap1-14.csv,224,0.001494869,0.000544236,3.79E-06,7069.204869
lap1-15.csv,981,6.39E-05,7.80E-05,3.94E-06,117.894379
lap1-16.csv,1048,5.59E-05,6.07E-05,5.42E-06,111.9294303
lap1-17.csv,1001,5.18E-05,6.00E-05,5.00E-06,113.116325
lap1-18.csv,991,5.39E-05,7.29E-05,4.14E-06,114.0629626
lap1-19.csv,1088,5.25E-05,6.16E-05,5.22E-06,112.3350557
lap1-2.csv,2371,5.11E-05,0.000190064,6.30E-06,111.7513939
lap1-20.csv,1074,5.30E-05,6.51E-05,4.58E-06,118.4725365
lap1-21.csv,1098,6.98E-05,9.48E-05,5.25E-06,114.3136947
lap1-22.csv,1021,5.35E-05,6.03E-05,4.56E-06,111.461601
lap1-23.csv,1101,6.02E-05,6.53E-05,6.06E-06,110.627815
lap1-24.csv,957,5.65E-05,5.30E-05,4.42E-06,111.3008529
lap1-25.csv,949,7.05E-05,9.66E-05,5.85E-06,145.6255611
lap1-26.csv,556,6.73E-05,4.91E-05,2.46E-06,166.3219781
lap1-27.csv,1216,5.32E-05,6.40E-05,5.79E-06,115.6366283
lap1-28.csv,980,5.57E-05,5.62E-05,4.94E-06,113.6833303
lap1-29.csv,1038,6.66E-05,9.60E-05,5.53E-06,111.7322981
lap1-3.csv,1496,5.94E-05,8.83E-05,5.85E-06,120.6339393
lap1-30.csv,1043,5.89E-05,0.000122108,4.20E-06,105.6887719
lap1-31.csv,953,5.68E-05,5.96E-05,4.02E-06,114.2822768
lap1-32.csv,723,0.000151512,0.000127513,5.02E-06,134.5994675
lap1-33.csv,145,0.001490966,0.000569239,3.48E-06,8789.269252
lap1-4.csv,1355,5.26E-05,6.47E-05,5.99E-06,114.3490869
lap1-5.csv,1185,5.67E-05,6.45E-05,6.03E-06,115.4810891
lap1-6.csv,1230,5.44E-05,6.48E-05,5.88E-06,113.14741
lap1-7.csv,1225,5.59E-05,7.51E-05,4.89E-06,114.2142548
lap1-8.csv,1241,5.40E-05,5.75E-05,4.99E-06,109.4456962
lap1-9.csv,1319,5.57E-05,7.12E-05,5.95E-06,113.6932567
lap2-0.csv,1130,3.70E-05,7.87E-05,2.04E-07,61.11245147
lap2-1.csv,1701,5.31E-05,0.000144398,3.22E-06,54.41781402
lap2-10.csv,1461,5.42E-05,0.000118029,2.08E-06,36.07101404
lap2-11.csv,1525,5.39E-05,0.0001354,2.41E-06,38.7442358
lap2-12.csv,1174,5.23E-05,7.58E-05,7.53E-07,39.03148274
lap2-13.csv,1110,5.36E-05,5.04E-05,2.12E-07,42.10929117
lap2-14.csv,811,0.002462009,0.00174881,2.46E-06,10876.47489
lap2-15.csv,1661,0.000956747,0.001146136,3.13E-06,2866.485745
lap2-16.csv,370,0.002553286,0.001292769,1.75E-06,12289.80041
lap2-2.csv,1202,5.31E-05,7.80E-05,9.08E-07,57.88327922
lap2-3.csv,1329,5.44E-05,8.75E-05,1.64E-06,54.17664136
lap2-4.csv,1304,5.18E-05,8.77E-05,1.58E-06,54.77207293
lap2-5.csv,1529,4.87E-05,0.000177595,2.51E-06,41.56258694
lap2-6.csv,1363,5.30E-05,9.50E-05,1.81E-06,38.72275069
lap2-7.csv,1241,5.49E-05,7.87E-05,1.26E-06,37.22594435
lap2-8.csv,1296,5.46E-05,9.26E-05,1.56E-06,41.53696466
lap2-9.csv,1230,5.43E-05,8.19E-05,1.14E-06,39.3858834
lap3-0.csv,1229,2.32E-05,2.74E-05,1.04E-06,58.30586
lap3-1.csv,1105,0.000112889,0.000158034,1.35E-06,95.2245724
lap3-2.csv,1266,5.49E-05,7.10E-05,6.92E-07,62.82532764
lap3-3.csv,923,0.002120489,0.001402212,2.44E-06,8569.12465
lap3-4.csv,65,0.002558363,0.000454983,1.77E-06,12209.71876
