LAT,LON,GSPEED,CRS,NLAT,NLON,NCRS,CMD
48.0492143,17.5678361,1.08,219.10375,48.0492134,17.5678352,215.70312,-13.168085199879
48.0492134,17.5678352,1.03,215.70312,48.0492127,17.5678343,215.56731,-0.243908273529492
48.0492127,17.5678343,1.11,215.56731,48.0492119,17.5678334,216.61797,5.32281112467459
48.0492119,17.5678334,1.12,216.61797,48.0492111,17.5678325,217.01829,2.44919166892099
48.0492111,17.5678325,1.05,217.01829,48.0492103,17.5678316,217.93289,4.63610223763776
48.0492103,17.5678316,1.12,217.93289,48.0492095,17.5678307,217.93289,0.583894006112199
48.0492095,17.5678307,1.12,217.93289,48.0492087,17.5678298,216.7666,-4.24646094038552
48.0492087,17.5678298,1.12,216.7666,48.0492079,17.5678289,216.27539,-1.26826071237585
48.0492079,17.5678289,1.12,216.27539,48.049207,17.567828,215.96031,0.146995983474971
48.049207,17.567828,1.09,215.96031,48.0492062,17.5678271,215.79699,0.22285450383073
48.0492062,17.5678271,1.12,215.79699,48.0492054,17.5678262,215.35828,-0.898393582507957
48.0492054,17.5678262,1.13,215.35828,48.0492045,17.5678253,217.68049,11.0951473325317
48.0492045,17.5678253,1.08,217.68049,48.0492037,17.5678244,215.47358,-8.61587697303757
48.0492037,17.5678244,1.17,215.47358,48.0492028,17.5678234,216.79093,6.44707969017572
48.0492028,17.5678234,1.13,216.79093,48.049202,17.5678225,217.03699,1.77593974558878
48.049202,17.5678225,1.2,217.03699,48.0492011,17.5678215,215.90114,-3.71526710041897
48.0492011,17.5678215,1.15,215.90114,48.0492003,17.5678206,216.36663,2.79860100227874
48.0492003,17.5678206,1.15,216.36663,48.0491994,17.5678196,216.19376,0.270347294153016
48.0491994,17.5678196,1.17,216.19376,48.0491985,17.5678187,216.51765,2.7452551294795
48.0491985,17.5678187,1.2,216.51765,48.0491976,17.5678178,216.02077,-0.639640279505117
48.0491976,17.5678178,1.15,216.02077,48.0491967,17.5678168,216.60446,3.41668822371898
48.0491967,17.5678168,1.21,216.60446,48.0491958,17.5678158,216.50623,0.516731978889712
48.0491958,17.5678158,1.19,216.50623,48.0491949,17.5678148,216.33478,0.244249803501809
48.0491949,17.5678148,1.25,216.33478,48.0491939,17.5678138,215.01256,-3.69782487275533
48.0491939,17.5678138,1.21,215.01256,48.049193,17.5678127,213.95522,-3.45254854188292
48.049193,17.5678127,1.27,213.95522,48.0491921,17.5678118,218.56128,19.4543717968323
48.0491921,17.5678118,1.3,218.56128,48.0491912,17.5678107,216.37283,-8.32298797004175
48.0491912,17.5678107,1.21,216.37283,48.0491902,17.5678097,214.48955,-5.98112572255947
48.0491902,17.5678097,1.24,214.48955,48.0491892,17.5678087,218.98851,19.2613084036328
48.0491892,17.5678087,1.32,218.98851,48.0491882,17.5678075,212.48423,-24.1414974871904
48.0491882,17.5678075,1.33,212.48423,48.0491872,17.5678064,215.59401,13.5140451569555
48.0491872,17.5678064,1.38,215.59401,48.0491861,17.5678053,218.01701,10.7538109423865
48.0491861,17.5678053,1.4,218.01701,48.049185,17.5678041,215.91772,-6.96874496233116
48.049185,17.5678041,1.44,215.91772,48.0491838,17.5678028,216.5273,3.59927999159134
48.0491838,17.5678028,1.44,216.5273,48.0491826,17.5678015,216.20823,0.0731365921770232
48.0491826,17.5678015,1.62,216.20823,48.0491814,17.5678001,217.02655,3.70108007669236
48.0491814,17.5678001,1.58,217.02655,48.0491801,17.5677987,214.87751,-6.32922737330986
