LAT,LON,GSPEED,CRS,NLAT,NLON,NCRS,CMD
48.0492306,17.5678507,0,0,48.0492313,17.5678494,0,11.0116384005144
48.0492313,17.5678494,0.04,0,48.0492305,17.5678495,0,-12.0701411123794
48.0492305,17.5678495,0.01,0,48.0492292,17.5678499,0,-19.6874865336079
48.0492292,17.5678499,0.01,0,48.0492283,17.5678498,0,-13.9127673190133
48.0492283,17.5678498,0.02,0,48.0492274,17.56785,0,-13.781592113715
48.0492274,17.56785,0.04,0,48.0492268,17.56785,0,-9.11135366673871
48.0492268,17.56785,0.04,0,48.0492262,17.5678502,0,-9.11135366673871
48.0492262,17.5678502,0.02,0,48.0492257,17.5678504,0,-7.75980278615906
48.0492257,17.5678504,0.15,0,48.0492252,17.5678505,0,-6.89157213515185
48.0492252,17.5678505,0.05,0,48.049225,17.5678504,0,-3.03097902951259
48.049225,17.5678504,0.03,0,48.0492248,17.5678505,0,-3.0897200424601
48.0492248,17.5678505,0.03,0,48.0492246,17.5678506,0,-3.0897200424601
48.0492246,17.5678506,0.02,0,48.0492243,17.5678506,0,-4.67416182650709
48.0492243,17.5678506,0,0,48.0492242,17.5678504,0,-1.59234000250588
48.0492242,17.5678504,0.05,0,48.0492241,17.5678505,0,-1.51655058324165
48.0492241,17.5678505,0.03,0,48.0492239,17.5678504,0,-3.08971991331974
48.0492239,17.5678504,0.01,0,48.0492238,17.5678505,0,-1.57658199262401
48.0492238,17.5678505,0.03,0,48.0492236,17.5678505,0,-3.0897200424601
48.0492236,17.5678505,0.02,0,48.0492235,17.5678505,0,-1.56113325446886
48.0492235,17.5678505,0.02,0,48.0492234,17.5678506,0,-1.56113325446886
48.0492234,17.5678506,0.04,0,48.0492233,17.5678507,0,-1.53112576384202
48.0492233,17.5678507,0.01,0,48.0492231,17.5678508,0,-3.15078040679052
48.0492231,17.5678508,0.03,0,48.049223,17.5678508,0,-1.54598388304943
48.049223,17.5678508,0.08,0,48.0492229,17.5678509,0,-1.47444303947748
48.0492229,17.5678509,0.03,0,48.0492228,17.5678511,0,-1.54598401247179
48.0492228,17.5678511,0.04,0,48.0492227,17.5678513,0,-1.53112589202172
48.0492227,17.5678513,0.02,0,48.0492226,17.5678513,0,-1.56113299309019
48.0492226,17.5678513,0.04,0,48.0492225,17.5678514,0,-1.53112576384202
48.0492225,17.5678514,0.03,0,48.0492224,17.5678514,0,-1.54598388304943
48.0492224,17.5678514,0.03,0,48.0492223,17.5678515,0,-1.54598401247179
48.0492223,17.5678515,0.02,0,48.0492222,17.5678515,0,-1.56113312377953
48.0492222,17.5678515,0.03,0,48.0492221,17.5678515,0,-1.54598401247179
48.0492221,17.5678515,0.02,0,48.0492221,17.5678516,0,0
